x,y
237,645
237,646
237,591
237,591
237,591
237,591
236,550
237,554
236,550
237,552
236,517
236,517
236,516
236,517
236,481
236,481
236,481
236,481
236,447
236,447
236,446
236,446
236,418
236,415
236,416
236,416
235,395
235,395
235,395
235,395
249,332
249,334
249,334
249,334
235,349
235,349
234,349
234,349
236,328
236,328
236,328
237,330
233,313
233,312
233,312
233,294
233,294
233,296
233,294
234,279
234,279
233,278
234,278
232,258
232,256
232,257
232,257
232,250
231,250
231,251
231,251
231,233
231,232
231,232
230,233
231,220
231,221
230,221
230,221
230,212
230,212
230,213
230,213
229,199
229,200
229,199
229,200
229,193
229,193
228,193
229,192
228,174
228,173
228,174
229,176
228,166
228,165
228,167
228,165
227,154
227,155
227,156
227,155
227,148
227,147
227,147
228,148
227,140
227,138
227,139
227,138
226,129
226,130
227,130
227,130
226,122
226,122
226,123
226,122
226,120
226,120
225,119
225,119
225,113
226,114
226,113
226,113
225,107
225,107
224,106
225,108
224,100
224,102
224,100
224,100
225,96
224,95
225,96
224,95
224,88
224,90
225,89
225,89
224,87
224,87
223,87
224,87
224,87
223,82
223,82
224,86
223,78
223,79
223,78
224,78
223,74
223,74
223,76
223,75
222,67
222,67
223,68
223,67
222,64
223,64
223,64
222,64
222,55
222,55
222,52
222,52
221,46
220,41
220,41
221,42
220,42
219,31
219,31
219,31
218,28
218,29
218,28
217,24
210,11
210,10
228,5
227,4
166,18
166,18
